,workers,policy,hit_ratio
0,24,crr,0.5841405730636203
1,24,random,0.24942966361441357
2,2,crr,0.5817396446897405
3,2,random,0.4940990424428266
4,6,crr,0.5816606574663739
5,6,random,0.3740356514421238
6,12,random,0.30794613217562344
7,12,crr,0.5826007326007326
8,1,random,0.5816436167281944
9,1,crr,0.5816436167281944
